,Unnamed: 0,ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
0,0,0,Komisariat 1,"al. Strumykowa 658
67-984 Giżycko",20
1,1,1,Komisariat 2,"ulica Słoneczna 07/55
21-326 Brodnica",17
2,2,2,Komisariat 3,"al. Jeziorna 68
91-913 Ełk",19
3,3,3,Komisariat 4,"ul. Grottgera 39
29-656 Czeladź",16
4,4,4,Komisariat 5,"ulica Stolarska 598
34-323 Szczecinek",23
5,5,5,Komisariat 6,"ul. Brzechwy 91
19-402 Bełchatów",12
6,6,6,Komisariat 7,"plac Kusocińskiego 99/77
20-498 Brodnica",19
7,7,7,Komisariat 8,"pl. Zapolskiej 92
50-846 Gorlice",18
8,8,8,Komisariat 9,"aleja Poniatowskiego 18
93-702 Jarocin",17
9,9,9,Komisariat 10,"al. Kolejowa 27/29
97-207 Jelenia Góra",21
10,10,10,Komisariat 11,"aleja Gdańska 716
63-155 Bielsk Podlaski",24
11,11,11,Komisariat 12,"ulica Jesienna 28/58
56-910 Szczytno",12
12,12,12,Komisariat 13,"plac Plater 796
49-377 Przemyśl",15
13,13,13,Komisariat 14,"plac Lawendowa 24/40
02-327 Żywiec",19
14,14,14,Komisariat 15,"al. Kazimierza Wielkiego 23
09-084 Radomsko",16
15,15,15,Komisariat 16,"ul. Robotnicza 488
92-992 Dzierżoniów",26
16,16,16,Komisariat 17,"plac Bankowa 80
86-001 Oleśnica",16
17,17,17,Komisariat 18,"aleja Odrzańska 14/42
65-981 Łowicz",20
18,18,18,Komisariat 19,"ul. Krótka 263
76-436 Zduńska Wola",20
19,19,19,Komisariat 20,"al. Piaskowa 645
42-065 Piotrków Trybunalski",13
20,20,20,Komisariat 21,"ul. Górna 16
59-514 Sochaczew",11
21,21,21,Komisariat 22,"al. Cedrowa 00/36
66-222 Lubliniec",21
22,22,22,Komisariat 23,"al. Borówkowa 21/04
50-030 Bytom",21
23,23,23,Komisariat 24,"al. Starowiejska 838
09-490 Konin",18
24,24,24,Komisariat 25,"plac Piwna 58
89-778 Ząbki",29
25,25,25,Komisariat 26,"ul. Władysława Łokietka 892
79-495 Słupsk",24
26,26,26,Komisariat 27,"ulica Stawowa 05/73
06-296 Oświęcim",24
27,27,27,Komisariat 28,"aleja Sikorskiego 88
58-849 Kraków",20
28,28,28,Komisariat 29,"plac Krakowska 99/06
57-453 Żary",18
29,29,29,Komisariat 30,"ul. Wałowa 48/98
37-371 Gdynia",24
30,30,30,Komisariat 31,"al. Srebrna 86
32-483 Białogard",21
31,31,31,Komisariat 32,"al. Błękitna 878
94-350 Inowrocław",24
32,32,32,Komisariat 33,"aleja Brzechwy 45/36
37-373 Łaziska Górne",19
33,33,33,Komisariat 34,"ul. Pocztowa 14/68
38-899 Luboń",20
34,34,34,Komisariat 35,"al. Owocowa 13/02
12-729 Mielec",27
35,35,35,Komisariat 36,"plac Rycerska 996
43-526 Gniezno",20
36,36,36,Komisariat 37,"al. Myśliwska 56
96-704 Świdnik",21
37,37,37,Komisariat 38,"ul. Sportowa 93
87-886 Ostrowiec Świętokrzyski",14
38,38,38,Komisariat 39,"al. Tylna 39
87-773 Mława",18
