Unnamed: 0,ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
0,0,Komisariat 1,"al. Strumykowa 658
67-984 Giżycko",13
1,1,Komisariat 2,"ulica Słoneczna 07/55
21-326 Brodnica",11
2,2,Komisariat 3,"al. Jeziorna 68
91-913 Ełk",9
3,3,Komisariat 4,"ul. Grottgera 39
29-656 Czeladź",8
4,4,Komisariat 5,"ulica Stolarska 598
34-323 Szczecinek",8
5,5,Komisariat 6,"ul. Brzechwy 91
19-402 Bełchatów",3
6,6,Komisariat 7,"plac Kusocińskiego 99/77
20-498 Brodnica",9
7,7,Komisariat 8,"pl. Zapolskiej 92
50-846 Gorlice",7
8,8,Komisariat 9,"aleja Poniatowskiego 18
93-702 Jarocin",5
9,9,Komisariat 10,"al. Kolejowa 27/29
97-207 Jelenia Góra",11
10,10,Komisariat 11,"aleja Gdańska 716
63-155 Bielsk Podlaski",16
11,11,Komisariat 12,"ulica Jesienna 28/58
56-910 Szczytno",5
12,12,Komisariat 13,"plac Plater 796
49-377 Przemyśl",6
13,13,Komisariat 14,"plac Lawendowa 24/40
02-327 Żywiec",7
14,14,Komisariat 15,"al. Kazimierza Wielkiego 23
09-084 Radomsko",6
15,15,Komisariat 16,"ul. Robotnicza 488
92-992 Dzierżoniów",13
16,16,Komisariat 17,"plac Bankowa 80
86-001 Oleśnica",8
17,17,Komisariat 18,"aleja Odrzańska 14/42
65-981 Łowicz",12
18,18,Komisariat 19,"ul. Krótka 263
76-436 Zduńska Wola",7
19,19,Komisariat 20,"al. Piaskowa 645
42-065 Piotrków Trybunalski",9
20,20,Komisariat 21,"ul. Górna 16
59-514 Sochaczew",5
21,21,Komisariat 22,"al. Cedrowa 00/36
66-222 Lubliniec",9
22,22,Komisariat 23,"al. Borówkowa 21/04
50-030 Bytom",7
23,23,Komisariat 24,"al. Starowiejska 838
09-490 Konin",10
24,24,Komisariat 25,"plac Piwna 58
89-778 Ząbki",7
25,25,Komisariat 26,"ul. Władysława Łokietka 892
79-495 Słupsk",13
26,26,Komisariat 27,"ulica Stawowa 05/73
06-296 Oświęcim",13
27,27,Komisariat 28,"aleja Sikorskiego 88
58-849 Kraków",7
28,28,Komisariat 29,"plac Krakowska 99/06
57-453 Żary",5
29,29,Komisariat 30,"ul. Wałowa 48/98
37-371 Gdynia",14
30,30,Komisariat 31,"al. Srebrna 86
32-483 Białogard",12
31,31,Komisariat 32,"al. Błękitna 878
94-350 Inowrocław",10
32,32,Komisariat 33,"aleja Brzechwy 45/36
37-373 Łaziska Górne",12
33,33,Komisariat 34,"ul. Pocztowa 14/68
38-899 Luboń",6
34,34,Komisariat 35,"al. Owocowa 13/02
12-729 Mielec",11
35,35,Komisariat 36,"plac Rycerska 996
43-526 Gniezno",12
36,36,Komisariat 37,"al. Myśliwska 56
96-704 Świdnik",8
37,37,Komisariat 38,"ul. Sportowa 93
87-886 Ostrowiec Świętokrzyski",7
38,38,Komisariat 39,"al. Tylna 39
87-773 Mława",5
39,39,Komisariat 40,"ul. Żeglarska 32
73-394 Czeladź",12
40,40,Komisariat 41,"plac Ludowa 012
90-039 Czechowice-Dziedzice",14
41,41,Komisariat 42,"ulica Jodłowa 162
04-898 Tarnowskie Góry",8
42,42,Komisariat 43,"aleja Rataja 101
18-611 Jaworzno",11
43,43,Komisariat 44,"al. Piaskowa 95
59-665 Kalisz",7
44,44,Komisariat 45,"ul. Lotnicza 06
91-700 Biłgoraj",7
45,45,Komisariat 46,"aleja Wałowa 57/33
51-216 Szczecinek",7
46,46,Komisariat 47,"plac Bolesława Krzywoustego 036
75-554 Kutno",9
47,47,Komisariat 48,"pl. Zaciszna 09/12
09-842 Brodnica",10
48,48,Komisariat 49,"ulica Plażowa 00/88
20-723 Bartoszyce",10
49,49,Komisariat 50,"aleja Skargi 07
74-044 Czechowice-Dziedzice",8
50,50,Komisariat 51,"pl. Rolna 62
85-852 Tarnowskie Góry",8
51,51,Komisariat 52,"plac Narcyzowa 64
66-116 Knurów",9
52,52,Komisariat 53,"plac Zamkowa 557
21-436 Gorlice",5
53,53,Komisariat 54,"aleja Srebrna 480
80-475 Kłodzko",13
54,54,Komisariat 55,"pl. Piastowska 32/97
58-602 Koło",5
55,55,Komisariat 56,"pl. Źródlana 731
08-520 Rybnik",5
56,56,Komisariat 57,"aleja Ciasna 89/30
84-124 Kielce",12
57,57,Komisariat 58,"pl. Jaskółcza 76
50-358 Ostrów Mazowiecka",8
58,58,Komisariat 59,"ulica Stolarska 812
86-332 Wrocław",10
59,59,Komisariat 60,"ul. Turkusowa 81
82-296 Sanok",11
60,60,Komisariat 61,"al. Andersa 02/74
95-497 Legionowo",13
61,61,Komisariat 62,"aleja Piłsudskiego 136
72-449 Sieradz",7
62,62,Komisariat 63,"ulica Przemysłowa 952
80-446 Pruszcz Gdański",7
63,63,Komisariat 64,"ulica Poprzeczna 06/34
17-841 Oleśnica",12
64,64,Komisariat 65,"ulica Skłodowskiej-Curie 63/51
37-882 Tarnowskie Góry",13
65,65,Komisariat 66,"ulica Wiklinowa 75/03
69-375 Nowa Sól",10
66,66,Komisariat 67,"pl. Prosta 763
87-740 Sieradz",13
67,67,Komisariat 68,"ulica Wschodnia 04
44-254 Jaworzno",17
68,68,Komisariat 69,"ul. Pogodna 805
71-358 Kalisz",5
69,69,Komisariat 70,"plac Wspólna 53/89
53-871 Grudziądz",10
70,70,Komisariat 71,"ulica Jagiellońska 97
30-624 Bolesławiec",16
71,71,Komisariat 72,"pl. Grzybowa 10/32
93-615 Zgierz",9
72,72,Komisariat 73,"ulica Konstytucji 3 Maja 17
77-600 Świętochłowice",11
73,73,Komisariat 74,"aleja Morelowa 42
88-911 Pabianice",6
