,ID,Nazwa,Numer_seryjny,Rodzaj
30000,30000,Latarka taktyczna,E00692ME9WFZSK20Z,inne
30001,30001,Glauberyt PM-98,D6SZBXAL3L09B5BR6,bron
30002,30002,Latarka taktyczna,5MEVV3WA7TL3MAT0C,inne
30003,30003,Beretta APX,H9PKDZ5C381P7055M,bron
30004,30004,Kia Ceed III,6ZWP8J5P3E4AJN2TG,pojazd
30005,30005,Glock 19,EYBAKJYX9SSBZ3LKY,bron
30006,30006,Apteczka taktyczna,XA16NUBJ8CKUURS99,inne
30007,30007,Apteczka taktyczna,RU64FLP8981JPSVR1,inne
30008,30008,Glauberyt PM-98,E3W7ZP0X94K7GJT9G,bron
30009,30009,Radiostacja nasobna,U9XLV6E85AXT0351D,srodki_lacznosci
30010,30010,Apteczka taktyczna,01AJP2ZH96HMDY83B,inne
30011,30011,Kamizelka kuloodporna,PY07VP3W2H0VDYFD7,inne
30012,30012,Apteczka taktyczna,P5EMAE072MCLBFSZE,inne
30013,30013,Terminal Bluebird,LV0DJY8V3RTNJ4U1D,srodki_lacznosci
30014,30014,Kajdanki,KPGTSA349H93NKLMU,inne
30015,30015,Skoda Superb,SK0APPF438M972M6N,pojazd
30016,30016,Toyota Corolla,F39K53D41CLRWWWM2,pojazd
30017,30017,Kamizelka kuloodporna,ULRCF3T4487TAANRG,inne
30018,30018,Terminal Bluebird,67KCCAST3LCGLCHFV,srodki_lacznosci
30019,30019,Latarka taktyczna,PTYNB21R47D7V6WA6,inne
30020,30020,Skoda Superb,JCYAB3PS4THF8JFFC,pojazd
30021,30021,Radiostacja nasobna,MJFHCLJ40D3ZNU3K8,srodki_lacznosci
30022,30022,Opel Crossland X,Z7LSU05V8YCWVD6XF,pojazd
30023,30023,Terminal Bluebird,PWR4CEMT1EH2U47SP,srodki_lacznosci
30024,30024,Kamizelka kuloodporna,DFJJZFGP26FSY3KTW,inne
30025,30025,Glock 26,296PGHZ25CBYFK8RW,bron
30026,30026,H&K G36,PBMBVHEU3S043LJRP,bron
30027,30027,Toyota Corolla,DNTK5NEL29H3D622Y,pojazd
30028,30028,Terminal Bluebird,UZ1TJJDBXHVFRU03R,srodki_lacznosci
30029,30029,Opel Crossland X,V2PDR4K5343Y33571,pojazd
30030,30030,Sako TRG-21,YT4A0UMB4LGLCYU15,bron
30031,30031,Glock 26,BP4K8VSF2UEW0B21Y,bron
30032,30032,Kamizelka kuloodporna,0AE66BJE1PJRKVK0P,inne
30033,30033,Radiostacja nasobna,C7EULF9T2S3RBZ8PS,srodki_lacznosci
30034,30034,Latarka taktyczna,HGWD03W252V5UUELP,inne
30035,30035,Radiostacja nasobna,S1SJ9KM35NYCXG6S0,srodki_lacznosci
30036,30036,H&K G36,11YUERAA4FFHNXJXN,bron
30037,30037,Beretta APX,FP1BLX7Y85R9PMFY3,bron
30038,30038,Kia Ceed III,YK1PAKEW3MGN48EDE,pojazd
30039,30039,Kia Ceed III,N3DRE5Z76SW6HRZ6K,pojazd
30040,30040,Terminal Bluebird,7AF3UDXT4STD4NLLD,srodki_lacznosci
30041,30041,Tonfa,TY1BW8PC4AJJ5RRF2,bron
30042,30042,Opel Crossland X,EVKZ454Y2YFXF9G40,pojazd
30043,30043,Urzadzenie do detekcji narkotykow AlereTM DDS 2,US0PN13U21NR9V8LY,inne
30044,30044,Glock 17,CH9KR2YA8E3ANCYTM,bron
30045,30045,Radiostacja nasobna,72CNZLLC62VMYN6HW,srodki_lacznosci
30046,30046,Hyundai Tucson,RY0F2PXJ5SXVCAM9S,pojazd
30047,30047,Skoda Superb,S0LD26156X08HXP7M,pojazd
30048,30048,Opel Crossland X,8W3W7D2E7UF8CBA39,pojazd
30049,30049,Radiostacja nasobna,ATTL3E9GX09NKNZJ1,srodki_lacznosci
30050,30050,Terminal Bluebird,YGL5G5JN8XPC067EL,srodki_lacznosci
30051,30051,Hyundai Tucson,B3LUWK0A904UY1X7R,pojazd
30052,30052,Kajdanki,CHB1TUE3XK3BH2M1J,inne
30053,30053,Latarka taktyczna,WY95TF217SJRX9TN3,inne
30054,30054,Toyota Corolla,8RTVREUD3C7JUJ0Z3,pojazd
30055,30055,HK UMP,1UH4GPJ06YBGHCURK,bron
30056,30056,Volkswagen Crafter,6SFN2PGD5Z94P4EWA,pojazd
30057,30057,Volkswagen Crafter,0W9P7R1H28XBPSXF0,pojazd
30058,30058,Beretta APX,D5KDTNP720ZUWFCWP,bron
30059,30059,Volkswagen Crafter,YD4PSSRP86ET27YCX,pojazd
30060,30060,Volkswagen Crafter,TDCKNKLT8XNK3SCAP,pojazd
30061,30061,Glock 26,DU6FYLFW5578FZ1VS,bron
30062,30062,BMW serii 3,ZF43DNL56J35XUWB1,pojazd
30063,30063,Kajdanki,HH93V60L4941WXKTW,inne
30064,30064,Alkomat AlcoQuant 6020,4ATRJMUS5AT0L5JN3,inne
30065,30065,Latarka taktyczna,VTBCMLWAXCXCD8VA7,inne
30066,30066,Opel Crossland X,P0N7UWAE5MAWW8VZZ,pojazd
30067,30067,Radiostacja nasobna,PCZ1XX6W2SS6FZARM,srodki_lacznosci
30068,30068,Alkomat AlcoQuant 6020,YD9YGWLB3FE892AFB,inne
30069,30069,Apteczka taktyczna,Y0PA8NY20RWEBUNES,inne
30070,30070,Kajdanki,DXG3SWL8X08DN2FRL,inne
30071,30071,BMW serii 3,ZYUGCW5A61GJL3ZP7,pojazd
30072,30072,Glock 17,5KKVTKPW5JL2PJ0UJ,bron
30073,30073,Opel Crossland X,UHH4M0SZ01X93RZ29,pojazd
30074,30074,Terminal Bluebird,BB5KUJ3N7BRE3LTNR,srodki_lacznosci
30075,30075,Glock 26,485MUY261T6HYTWUA,bron
30076,30076,H&K G36,9C6MURG39659B0823,bron
30077,30077,Beretta APX,09ZUPDP681W2KXYV5,bron
30078,30078,Radiostacja nasobna,P8N34TDH9GWCSBA0V,srodki_lacznosci
30079,30079,Radiostacja nasobna,77GP7PH69FL9G1SSC,srodki_lacznosci
30080,30080,Volkswagen Transporter,7L2UVMFA7YVGEDC9W,pojazd
30081,30081,Terminal Bluebird,0KZHBZ6468YHY4PBF,srodki_lacznosci
30082,30082,Radiostacja nasobna,YBGRU5CT2JDAJV02K,srodki_lacznosci
30083,30083,Kajdanki,YXJWPJK08KZT29PZU,inne
30084,30084,Radiostacja nasobna,5S05CTYN8FJMLHZ0V,srodki_lacznosci
30085,30085,Apteczka taktyczna,B7PM1B6J88UKYMHJJ,inne
30086,30086,Tonfa,EDYCRPUR0PVKTBYYD,bron
30087,30087,Terminal Bluebird,ZVX5YEPH303DAN5TY,srodki_lacznosci
30088,30088,Apteczka taktyczna,4F5Y68WK7J292A72Z,inne
30089,30089,Toyota Corolla,X8228TZC36LTD4UHS,pojazd
30090,30090,Glock 19,4YH5F8W719XH54RPS,bron
30091,30091,Opel Crossland X,DMBER1HW02U95GFC3,pojazd
30092,30092,Urzadzenie do detekcji narkotykow AlereTM DDS 2,8S8H2BGAX2H9G9H81,inne
30093,30093,Kamizelka kuloodporna,VJK8KRGM6SZC5VJUN,inne
30094,30094,Latarka taktyczna,J6GB83361CDCD9213,inne
30095,30095,H&K MP5A3,08H3YX4Y667K6H2UE,bron
30096,30096,Urzadzenie do detekcji narkotykow AlereTM DDS 2,3B7XF8WX36K8BNXRJ,inne
30097,30097,Terminal Bluebird,E8RSJZ7W6T9N6137T,srodki_lacznosci
30098,30098,Apteczka taktyczna,6EFTJ0PN56FGKNHZZ,inne
30099,30099,Walther P99,CHB2LV9F7VWYZ7ZHU,bron
30100,30100,Glock 17,0NXE5UXPXS87JDZXZ,bron
30101,30101,BMW serii 3,39MYR6XG74B651PYN,pojazd
30102,30102,Radiostacja nasobna,RE59UZDH8FKWB6N39,srodki_lacznosci
30103,30103,Terminal Bluebird,TFGH84XP00H5UWY2T,srodki_lacznosci
30104,30104,Kamizelka kuloodporna,2NU35CDVXPFCJP8L2,inne
30105,30105,Volkswagen Transporter,43GBHZY2X5MLPBMXD,pojazd
30106,30106,HK UMP,22LEVNV482G7A5VF5,bron
30107,30107,Toyota Corolla,D130P489319P91DZM,pojazd
30108,30108,Beretta APX,Z0H8LF237WWTRXFB7,bron
30109,30109,Kamizelka kuloodporna,XTHRYAP504FWD4SF4,inne
30110,30110,Terminal Bluebird,8U2XW16C7R5DPTWYR,srodki_lacznosci
30111,30111,Glock 17,5ST7RKP183NLWMDHX,bron
30112,30112,Opel Crossland X,PPS6T5ED5M7KDXTWS,pojazd
30113,30113,Beretta APX,3JAX0WPJ5AWD7GLM1,bron
30114,30114,Kamizelka kuloodporna,T76LSC5762BJGDU4T,inne
30115,30115,Terminal Bluebird,JNW37NDG2MU1RYZFS,srodki_lacznosci
30116,30116,Radiostacja nasobna,2277SVH77P0NSDUNK,srodki_lacznosci
30117,30117,Terminal Bluebird,L5UJ5J7524S5KTXTL,srodki_lacznosci
30118,30118,Beretta APX,49LMR6P616BEA3B63,bron
30119,30119,Glauberyt PM-98,V009T6DG6TMBT9J2U,bron
30120,30120,Kia Ceed III,W6N4YBH417F24L5D0,pojazd
30121,30121,Terminal Bluebird,RVNL34DT9N45GGE8J,srodki_lacznosci
30122,30122,Urzadzenie do detekcji narkotykow AlereTM DDS 2,EJV8E5EP4984A34W3,inne
30123,30123,Glock 19,A3TGPFFB89GLRYS6E,bron
30124,30124,Radiostacja nasobna,AV9SG5A82PA0CDVH1,srodki_lacznosci
30125,30125,Skoda Superb,G31DCUP269BS2Y1ES,pojazd
30126,30126,Radiostacja nasobna,GLL7PBMB4889FTANH,srodki_lacznosci
30127,30127,Volkswagen Crafter,0NTELTJN98VJ5V94N,pojazd
30128,30128,Terminal Bluebird,EKSWY4N49BG1P9S7Z,srodki_lacznosci
30129,30129,Glock 26,GL5E34PD8A220WJLA,bron
30130,30130,Apteczka taktyczna,GHW6JSZ47SFZU65UD,inne
30131,30131,BMW serii 3,1TDM8VF42VHA363LM,pojazd
30132,30132,Urzadzenie do detekcji narkotykow AlereTM DDS 2,HE77CUY51MVW3LZBB,inne
30133,30133,Radiostacja nasobna,WYV7FC2C0RS22HD8F,srodki_lacznosci
30134,30134,HK UMP,DRY0N9C76Z1DYNDMC,bron
30135,30135,BMW serii 3,SCVVJC3D3M1YZ3SXC,pojazd
30136,30136,Opel Crossland X,GGSH8CT81GKUFR9KS,pojazd
30137,30137,Beretta APX,31VE75700AEDUR3JS,bron
30138,30138,Hyundai Tucson,JB50MDBM23LZ3LVDR,pojazd
30139,30139,H&K G36,A06GVYC357X4JH96L,bron
30140,30140,Kajdanki,A1WYVA838E88HKNZZ,inne
30141,30141,Terminal Bluebird,F436KUTL3FU45B0F7,srodki_lacznosci
30142,30142,Apteczka taktyczna,41K3XTBA2FNX1SVBU,inne
