,ID_interwencji,ID_wyposazenia
180484,60000,6321
180485,60000,52738
180486,60000,4744
180487,60001,46705
180488,60001,27020
180489,60002,32184
180490,60002,57870
180491,60002,44007
180492,60003,34516
180493,60004,30850
180494,60004,10932
180495,60004,32095
180496,60004,7981
180497,60005,33780
180498,60006,34854
180499,60006,23288
180500,60006,47790
180501,60006,55104
180502,60006,29103
180503,60007,8726
180504,60008,42771
180505,60008,34241
180506,60008,19692
180507,60008,21606
180508,60008,50337
180509,60009,21789
180510,60009,38922
180511,60009,20319
180512,60009,58023
180513,60009,5893
180514,60010,42894
180515,60010,20702
180516,60010,23756
180517,60010,38477
180518,60011,57860
180519,60012,20763
180520,60012,49432
180521,60012,10173
180522,60012,17047
180523,60013,8276
180524,60013,19776
180525,60014,774
180526,60015,50748
180527,60015,31834
180528,60016,50769
180529,60016,28895
180530,60016,10620
180531,60016,55024
180532,60016,37494
180533,60017,55914
180534,60017,40726
180535,60017,25167
180536,60017,33377
180537,60017,57633
180538,60018,12944
180539,60018,39418
180540,60018,45684
180541,60019,11440
180542,60019,2139
180543,60019,51097
180544,60020,54053
180545,60021,7607
180546,60021,13786
180547,60022,3675
180548,60023,26861
180549,60024,11268
180550,60024,30095
180551,60025,20546
180552,60025,41466
180553,60025,57078
180554,60026,50533
180555,60026,21023
180556,60026,51655
180557,60026,14914
180558,60027,58394
180559,60027,40035
180560,60028,8970
180561,60028,5330
180562,60028,12015
180563,60029,59395
180564,60029,4766
180565,60029,16508
180566,60029,24834
180567,60029,27716
180568,60030,32814
180569,60030,25848
180570,60031,36730
180571,60031,35620
180572,60032,57296
180573,60032,21662
180574,60033,25478
180575,60034,48542
180576,60034,43666
180577,60035,3677
180578,60035,29459
180579,60035,4690
180580,60036,25404
180581,60036,26398
180582,60037,58580
180583,60037,25238
180584,60038,11080
180585,60038,23346
180586,60039,47337
180587,60040,933
180588,60041,7414
180589,60041,42097
180590,60041,33764
180591,60042,45732
180592,60042,30535
180593,60043,1425
180594,60044,38868
180595,60044,42833
180596,60044,5246
180597,60044,41816
180598,60045,42475
180599,60045,12536
180600,60045,48365
180601,60045,13069
180602,60046,4723
180603,60046,38023
180604,60047,12852
180605,60047,47974
180606,60047,28870
180607,60047,26053
180608,60047,32419
180609,60048,47344
180610,60048,39463
180611,60049,34257
180612,60049,24798
180613,60049,14947
180614,60050,50493
180615,60051,30643
180616,60052,41622
180617,60052,10047
180618,60052,23756
180619,60052,36795
180620,60052,31902
180621,60053,40074
180622,60053,11801
180623,60053,40368
180624,60053,12013
180625,60053,38625
180626,60054,4049
180627,60054,40640
180628,60054,20294
180629,60054,16860
180630,60054,9292
180631,60055,17390
180632,60055,7792
180633,60055,6275
180634,60056,11100
180635,60057,38757
180636,60057,40619
180637,60057,54854
180638,60057,650
180639,60057,36026
180640,60058,40283
180641,60058,58834
180642,60059,43757
180643,60059,57684
180644,60059,1001
180645,60059,18425
180646,60060,22679
180647,60061,2121
180648,60061,27647
180649,60061,13339
180650,60061,15305
180651,60062,57491
180652,60063,37333
180653,60064,6888
180654,60064,36935
180655,60064,9455
180656,60064,59957
180657,60064,48925
180658,60065,59737
180659,60065,44369
180660,60065,2495
180661,60066,35056
180662,60066,53493
180663,60066,30458
180664,60066,2452
180665,60066,21093
180666,60067,52459
180667,60067,5427
180668,60067,19015
180669,60067,6707
180670,60068,16121
180671,60068,39998
180672,60069,23660
180673,60069,18877
180674,60069,32666
180675,60069,4825
180676,60070,32635
180677,60071,32479
180678,60071,9815
180679,60072,43977
180680,60072,1544
180681,60072,56269
180682,60073,1337
180683,60073,10759
180684,60074,41667
180685,60074,31106
180686,60075,5178
180687,60075,47772
180688,60075,33780
180689,60075,6941
180690,60075,54202
180691,60076,6206
180692,60077,35256
180693,60077,1113
180694,60077,19302
180695,60078,46118
180696,60078,2222
180697,60078,52771
180698,60078,32054
180699,60078,27460
180700,60079,59699
180701,60079,41897
180702,60079,28401
180703,60079,39254
180704,60080,11944
180705,60081,40720
180706,60081,52542
180707,60082,22816
180708,60082,39933
180709,60082,3996
180710,60082,44651
180711,60082,19976
180712,60083,55726
180713,60083,23552
180714,60083,25301
180715,60083,8236
180716,60084,31205
180717,60085,17294
180718,60085,25118
180719,60086,50406
180720,60086,45526
180721,60086,40726
180722,60086,35389
180723,60086,20024
180724,60087,43784
180725,60087,53168
180726,60087,33887
180727,60087,11025
180728,60088,52189
180729,60088,4072
180730,60089,40210
180731,60089,49338
180732,60089,17579
180733,60089,43333
180734,60089,6588
180735,60090,17338
180736,60091,41172
180737,60091,18253
180738,60092,25915
180739,60092,6335
180740,60093,21808
180741,60093,20909
180742,60093,39865
180743,60093,39755
180744,60094,58091
180745,60094,47969
180746,60095,15530
180747,60095,39008
180748,60095,25369
180749,60095,56237
180750,60095,45887
180751,60096,32228
180752,60097,31313
180753,60097,29623
180754,60098,4035
180755,60098,11855
180756,60098,39415
180757,60099,11803
180758,60100,48178
180759,60101,34881
180760,60101,4755
180761,60101,33037
180762,60101,19314
180763,60102,235
180764,60102,36233
180765,60102,56076
180766,60102,46000
180767,60103,34596
180768,60103,23764
180769,60103,6092
180770,60103,21997
180771,60103,38784
180772,60104,20036
180773,60105,17638
180774,60105,302
180775,60106,25385
180776,60106,23475
180777,60107,42546
180778,60107,20441
180779,60107,18755
180780,60107,24888
180781,60108,32484
180782,60108,2739
180783,60108,57544
180784,60108,19758
180785,60109,46420
180786,60109,3023
180787,60110,49671
180788,60110,6409
180789,60110,49435
180790,60111,7152
180791,60111,19209
180792,60111,20300
180793,60112,6917
180794,60112,50280
180795,60112,42745
180796,60112,13922
180797,60112,45297
180798,60113,49211
180799,60113,26650
180800,60113,28811
180801,60114,21715
180802,60115,55584
180803,60115,15855
180804,60115,17104
180805,60116,14913
180806,60117,43020
180807,60117,35226
180808,60117,36405
180809,60118,50779
180810,60118,8968
180811,60119,26174
180812,60119,18963
180813,60119,58829
180814,60119,9350
180815,60120,53616
180816,60120,30436
180817,60121,22688
180818,60121,41111
180819,60121,25862
180820,60121,17996
180821,60122,8145
180822,60123,25969
180823,60124,29994
180824,60124,20225
180825,60124,2644
180826,60124,15927
180827,60124,2760
180828,60125,6792
180829,60125,47636
180830,60125,47136
180831,60125,33226
180832,60125,15229
180833,60126,21028
180834,60126,53356
180835,60126,16432
180836,60126,42345
180837,60127,10977
180838,60127,51074
180839,60128,18901
