Unnamed: 0,ID_interwencji,ID_wyposazenia
0,0,7891
1,1,21230
2,1,4542
3,1,10026
4,1,10160
5,1,5012
6,2,1954
7,2,28337
8,2,22381
9,3,9705
10,3,14234
11,3,29795
12,3,18740
13,3,27500
14,4,3879
15,4,22887
16,4,10237
17,5,6273
18,6,20152
19,6,6315
20,6,9474
21,6,27321
22,7,7506
23,7,10211
24,8,27156
25,9,13665
26,10,25146
27,10,6463
28,11,29846
29,11,436
30,12,29649
31,12,4139
32,12,5508
33,12,2890
34,13,18515
35,13,6220
36,13,21608
37,13,3198
38,13,25467
39,14,28937
40,14,24294
41,14,24531
42,14,27073
43,15,20098
44,15,5329
45,15,18099
46,15,16334
47,15,20082
48,16,20287
49,16,4194
50,16,13516
51,16,1554
52,16,17228
53,17,3540
54,17,29513
55,17,2510
56,18,19692
57,19,27130
58,19,18143
59,19,13601
60,19,5704
61,19,28784
62,20,6933
63,20,8516
64,20,3569
65,21,22032
66,21,21040
67,21,8340
68,21,25596
69,21,16642
70,22,13307
71,22,11432
72,22,10694
73,22,29023
74,22,2306
75,23,27016
76,24,7853
77,24,8141
78,24,21122
79,25,11106
80,26,24264
81,26,4609
82,26,21661
83,26,100
84,26,11481
85,27,2319
86,27,4250
87,28,11961
88,28,13526
89,28,15297
90,29,3293
91,29,21259
92,29,9112
93,29,11113
94,30,17024
95,30,2072
96,30,19306
97,31,21629
98,31,18852
99,31,18416
100,32,24984
101,32,5672
102,32,520
103,33,8749
104,33,13513
105,33,18560
106,34,17540
107,34,4622
108,34,29818
109,34,23890
110,35,2191
111,35,942
112,36,20155
113,36,24632
114,37,772
115,37,23630
116,38,7834
117,38,1327
118,38,1302
119,38,26908
120,38,7639
121,39,20849
122,39,18234
123,39,985
124,39,25525
125,40,6329
126,40,4089
127,41,4491
128,41,502
129,41,17613
130,41,4450
131,41,4984
132,42,9001
133,42,1117
134,42,7147
135,42,10721
136,43,1149
137,43,20729
138,43,7669
139,43,8810
140,43,17044
141,44,29962
142,44,27224
143,44,25964
144,45,10157
145,45,8009
146,46,26354
147,47,18304
148,47,21993
149,47,18273
150,47,17276
151,47,8417
152,48,27386
153,48,1257
154,48,25790
155,49,7712
156,49,27189
157,49,7303
158,49,18980
159,49,14196
160,50,2757
161,50,470
162,50,9285
163,51,3022
164,51,25324
165,51,8627
166,51,20784
167,52,11422
168,53,1246
169,53,27634
170,53,9583
171,53,17900
172,53,27519
173,54,11756
174,55,15334
175,55,1521
176,56,16745
177,56,5441
178,56,21745
179,57,6271
180,58,22355
181,58,11185
182,59,1258
183,59,5488
184,59,14534
185,59,4479
186,59,5370
187,60,9602
188,60,12197
189,60,5656
190,60,8880
191,60,4495
192,61,1448
193,62,349
194,62,12075
195,62,6078
196,62,7717
197,63,8639
198,64,18758
199,64,25931
200,65,13066
201,66,13987
202,66,8102
203,66,3445
204,66,18171
205,67,24588
206,68,14240
207,69,10176
208,70,26199
209,70,29252
210,70,20617
211,71,24143
212,71,14765
213,71,22418
214,71,21728
215,71,6307
216,72,24907
217,72,24128
218,73,23872
219,73,19536
220,73,14315
221,74,4845
222,75,18209
223,75,7569
224,75,26661
225,76,9948
226,76,24367
