ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
0,Komisariat 1,"al. Strumykowa 658
67-984 Gizycko",13
1,Komisariat 2,"ulica Soneczna 07/55
21-326 Brodnica",11
2,Komisariat 3,"al. Jeziorna 68
91-913 Ek",9
3,Komisariat 4,"ul. Grottgera 39
29-656 Czeladz",8
4,Komisariat 5,"ulica Stolarska 598
34-323 Szczecinek",8
5,Komisariat 6,"ul. Brzechwy 91
19-402 Bechatow",3
6,Komisariat 7,"plac Kusocinskiego 99/77
20-498 Brodnica",9
7,Komisariat 8,"pl. Zapolskiej 92
50-846 Gorlice",7
8,Komisariat 9,"aleja Poniatowskiego 18
93-702 Jarocin",5
9,Komisariat 10,"al. Kolejowa 27/29
97-207 Jelenia Gora",11
10,Komisariat 11,"aleja Gdanska 716
63-155 Bielsk Podlaski",16
11,Komisariat 12,"ulica Jesienna 28/58
56-910 Szczytno",5
12,Komisariat 13,"plac Plater 796
49-377 Przemysl",6
13,Komisariat 14,"plac Lawendowa 24/40
02-327 Zywiec",7
14,Komisariat 15,"al. Kazimierza Wielkiego 23
09-084 Radomsko",6
15,Komisariat 16,"ul. Robotnicza 488
92-992 Dzierzoniow",13
16,Komisariat 17,"plac Bankowa 80
86-001 Olesnica",8
17,Komisariat 18,"aleja Odrzanska 14/42
65-981 owicz",12
18,Komisariat 19,"ul. Krotka 263
76-436 Zdunska Wola",7
19,Komisariat 20,"al. Piaskowa 645
42-065 Piotrkow Trybunalski",9
20,Komisariat 21,"ul. Gorna 16
59-514 Sochaczew",5
21,Komisariat 22,"al. Cedrowa 00/36
66-222 Lubliniec",9
22,Komisariat 23,"al. Borowkowa 21/04
50-030 Bytom",7
23,Komisariat 24,"al. Starowiejska 838
09-490 Konin",10
24,Komisariat 25,"plac Piwna 58
89-778 Zabki",7
25,Komisariat 26,"ul. Wadysawa okietka 892
79-495 Supsk",13
26,Komisariat 27,"ulica Stawowa 05/73
06-296 Oswiecim",13
27,Komisariat 28,"aleja Sikorskiego 88
58-849 Krakow",7
28,Komisariat 29,"plac Krakowska 99/06
57-453 Zary",5
29,Komisariat 30,"ul. Waowa 48/98
37-371 Gdynia",14
30,Komisariat 31,"al. Srebrna 86
32-483 Biaogard",12
31,Komisariat 32,"al. Bekitna 878
94-350 Inowrocaw",10
32,Komisariat 33,"aleja Brzechwy 45/36
37-373 aziska Gorne",12
33,Komisariat 34,"ul. Pocztowa 14/68
38-899 Lubon",6
34,Komisariat 35,"al. Owocowa 13/02
12-729 Mielec",11
35,Komisariat 36,"plac Rycerska 996
43-526 Gniezno",12
36,Komisariat 37,"al. Mysliwska 56
96-704 Swidnik",8
37,Komisariat 38,"ul. Sportowa 93
87-886 Ostrowiec Swietokrzyski",7
38,Komisariat 39,"al. Tylna 39
87-773 Mawa",5
39,Komisariat 40,"ul. Zeglarska 32
73-394 Czeladz",12
40,Komisariat 41,"plac Ludowa 012
90-039 Czechowice-Dziedzice",14
41,Komisariat 42,"ulica Jodowa 162
04-898 Tarnowskie Gory",8
