ID_interwencji,ID_wyposazenia
0,7891
1,21230
1,4542
1,10026
1,10160
1,5012
2,1954
2,28337
2,22381
3,9705
3,14234
3,29795
3,18740
3,27500
4,3879
4,22887
4,10237
5,6273
6,20152
6,6315
6,9474
6,27321
7,7506
7,10211
8,27156
9,13665
10,25146
10,6463
11,29846
11,436
12,29649
12,4139
12,5508
12,2890
13,18515
13,6220
13,21608
13,3198
13,25467
14,28937
14,24294
14,24531
14,27073
15,20098
15,5329
15,18099
15,16334
15,20082
16,20287
16,4194
16,13516
16,1554
16,17228
17,3540
17,29513
17,2510
18,19692
19,27130
19,18143
19,13601
19,5704
19,28784
20,6933
20,8516
20,3569
21,22032
21,21040
21,8340
21,25596
21,16642
22,13307
22,11432
22,10694
22,29023
22,2306
23,27016
24,7853
24,8141
24,21122
25,11106
26,24264
26,4609
26,21661
26,100
26,11481
27,2319
27,4250
28,11961
28,13526
28,15297
29,3293
29,21259
29,9112
29,11113
30,17024
30,2072
30,19306
31,21629
31,18852
31,18416
32,24984
32,5672
32,520
33,8749
33,13513
33,18560
34,17540
34,4622
34,29818
34,23890
35,2191
35,942
36,20155
36,24632
37,772
37,23630
38,7834
38,1327
38,1302
38,26908
38,7639
39,20849
39,18234
39,985
39,25525
40,6329
40,4089
41,4491
41,502
41,17613
41,4450
41,4984
42,9001
42,1117
42,7147
42,10721
43,1149
43,20729
43,7669
43,8810
43,17044
44,29962
44,27224
44,25964
45,10157
45,8009
46,26354
47,18304
47,21993
47,18273
47,17276
47,8417
48,27386
48,1257
48,25790
49,7712
49,27189
49,7303
49,18980
49,14196
50,2757
50,470
50,9285
51,3022
51,25324
51,8627
51,20784
52,11422
53,1246
53,27634
53,9583
53,17900
53,27519
54,11756
55,15334
55,1521
56,16745
56,5441
56,21745
57,6271
58,22355
58,11185
59,1258
59,5488
59,14534
59,4479
59,5370
60,9602
60,12197
60,5656
60,8880
60,4495
61,1448
62,349
62,12075
62,6078
62,7717
63,8639
64,18758
64,25931
65,13066
66,13987
66,8102
66,3445
66,18171
67,24588
68,14240
69,10176
70,26199
70,29252
70,20617
71,24143
71,14765
71,22418
71,21728
71,6307
72,24907
72,24128
73,23872
73,19536
73,14315
74,4845
75,18209
75,7569
75,26661
76,9948
76,24367
76,4625
76,29847
77,18869
77,4930
77,2610
78,11987
78,4168
79,12274
79,11166
79,13379
80,24509
81,17469
81,4804
81,25999
81,4498
81,14527
82,10741
83,28871
84,26342
85,21009
85,16495
85,14059
85,14797
85,28831
86,16813
86,5418
86,1313
86,22589
87,3570
87,13269
87,20656
87,23077
87,4130
88,29735
88,21362
88,23948
88,12133
88,20237
89,25072
89,19236
90,7946
91,1837
91,18155
91,7305
91,26186
92,28947
93,9293
93,26471
93,23479
93,27556
94,14728
94,12758
94,5017
95,13918
95,4200
95,17794
95,261
96,7538
96,5296
97,29538
97,21885
97,14636
98,2723
98,15654
99,1981
99,17514
99,16717
99,8489
100,24201
100,19399
100,12897
101,2774
101,19753
101,20552
101,15756
101,13585
102,10005
103,21605
103,14006
104,23310
104,25394
105,21923
105,18943
106,17033
106,15216
106,12802
107,10349
108,6205
109,17173
110,7214
110,25481
110,8250
110,437
110,23460
111,17850
112,23307
113,26347
113,376
113,2661
113,14657
113,25722
114,21965
114,10415
114,19025
114,20296
114,19183
115,1726
115,4791
115,2415
115,14373
116,25100
116,21743
116,3142
117,14415
117,27148
117,9601
118,19716
118,1797
118,9063
118,11198
118,11828
119,18913
119,3559
119,6909
120,23422
121,15256
121,11338
121,17352
121,7785
122,17422
122,27882
122,12461
122,6377
122,9504
123,10382
123,10680
123,4753
123,23506
123,7001
124,12680
125,19190
125,18395
126,21665
126,25260
126,11843
126,3884
126,23142
127,11391
127,28488
127,2324
128,25656
128,19838
129,15308
130,26800
130,5332
130,21952
130,370
131,20244
131,26656
132,24444
132,1883
132,24773
133,14078
133,738
133,271
134,8485
134,22392
134,26846
135,1615
135,1425
135,3241
135,12784
135,10709
136,24017
136,6523
136,29357
136,14417
136,8306
137,9406
137,8680
137,20808
138,28242
138,5507
138,28129
138,3191
139,6224
140,15664
140,21712
141,15409
141,9047
142,25440
