ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
0,Komisariat 1,"al. Strumykowa 658
67-984 Gizycko",20
1,Komisariat 2,"ulica Soneczna 07/55
21-326 Brodnica",17
2,Komisariat 3,"al. Jeziorna 68
91-913 Ek",19
3,Komisariat 4,"ul. Grottgera 39
29-656 Czeladz",16
4,Komisariat 5,"ulica Stolarska 598
34-323 Szczecinek",23
5,Komisariat 6,"ul. Brzechwy 91
19-402 Bechatow",12
6,Komisariat 7,"plac Kusocinskiego 99/77
20-498 Brodnica",19
7,Komisariat 8,"pl. Zapolskiej 92
50-846 Gorlice",18
8,Komisariat 9,"aleja Poniatowskiego 18
93-702 Jarocin",17
9,Komisariat 10,"al. Kolejowa 27/29
97-207 Jelenia Gora",21
10,Komisariat 11,"aleja Gdanska 716
63-155 Bielsk Podlaski",24
11,Komisariat 12,"ulica Jesienna 28/58
56-910 Szczytno",12
12,Komisariat 13,"plac Plater 796
49-377 Przemysl",15
13,Komisariat 14,"plac Lawendowa 24/40
02-327 Zywiec",19
14,Komisariat 15,"al. Kazimierza Wielkiego 23
09-084 Radomsko",16
15,Komisariat 16,"ul. Robotnicza 488
92-992 Dzierzoniow",26
16,Komisariat 17,"plac Bankowa 80
86-001 Olesnica",16
17,Komisariat 18,"aleja Odrzanska 14/42
65-981 owicz",20
18,Komisariat 19,"ul. Krotka 263
76-436 Zdunska Wola",20
19,Komisariat 20,"al. Piaskowa 645
42-065 Piotrkow Trybunalski",13
20,Komisariat 21,"ul. Gorna 16
59-514 Sochaczew",11
21,Komisariat 22,"al. Cedrowa 00/36
66-222 Lubliniec",21
22,Komisariat 23,"al. Borowkowa 21/04
50-030 Bytom",21
23,Komisariat 24,"al. Starowiejska 838
09-490 Konin",18
24,Komisariat 25,"plac Piwna 58
89-778 Zabki",29
25,Komisariat 26,"ul. Wadysawa okietka 892
79-495 Supsk",24
26,Komisariat 27,"ulica Stawowa 05/73
06-296 Oswiecim",24
27,Komisariat 28,"aleja Sikorskiego 88
58-849 Krakow",20
28,Komisariat 29,"plac Krakowska 99/06
57-453 Zary",18
29,Komisariat 30,"ul. Waowa 48/98
37-371 Gdynia",24
30,Komisariat 31,"al. Srebrna 86
32-483 Biaogard",21
31,Komisariat 32,"al. Bekitna 878
94-350 Inowrocaw",24
32,Komisariat 33,"aleja Brzechwy 45/36
37-373 aziska Gorne",19
33,Komisariat 34,"ul. Pocztowa 14/68
38-899 Lubon",20
34,Komisariat 35,"al. Owocowa 13/02
12-729 Mielec",27
35,Komisariat 36,"plac Rycerska 996
43-526 Gniezno",20
36,Komisariat 37,"al. Mysliwska 56
96-704 Swidnik",21
37,Komisariat 38,"ul. Sportowa 93
87-886 Ostrowiec Swietokrzyski",14
38,Komisariat 39,"al. Tylna 39
87-773 Mawa",18
39,Komisariat 40,"ul. Zeglarska 32
73-394 Czeladz",21
40,Komisariat 41,"plac Ludowa 012
90-039 Czechowice-Dziedzice",26
41,Komisariat 42,"ulica Jodowa 162
04-898 Tarnowskie Gory",18
42,Komisariat 43,"aleja Rataja 101
18-611 Jaworzno",19
43,Komisariat 44,"al. Piaskowa 95
59-665 Kalisz",13
44,Komisariat 45,"ul. Lotnicza 06
91-700 Bigoraj",20
45,Komisariat 46,"aleja Waowa 57/33
51-216 Szczecinek",13
46,Komisariat 47,"plac Bolesawa Krzywoustego 036
75-554 Kutno",16
47,Komisariat 48,"pl. Zaciszna 09/12
09-842 Brodnica",17
48,Komisariat 49,"ulica Plazowa 00/88
20-723 Bartoszyce",22
49,Komisariat 50,"aleja Skargi 07
74-044 Czechowice-Dziedzice",22
50,Komisariat 51,"pl. Rolna 62
85-852 Tarnowskie Gory",18
51,Komisariat 52,"plac Narcyzowa 64
66-116 Knurow",22
52,Komisariat 53,"plac Zamkowa 557
21-436 Gorlice",15
53,Komisariat 54,"aleja Srebrna 480
80-475 Kodzko",22
54,Komisariat 55,"pl. Piastowska 32/97
58-602 Koo",14
55,Komisariat 56,"pl. Zrodlana 731
08-520 Rybnik",19
56,Komisariat 57,"aleja Ciasna 89/30
84-124 Kielce",20
57,Komisariat 58,"pl. Jaskocza 76
50-358 Ostrow Mazowiecka",23
58,Komisariat 59,"ulica Stolarska 812
86-332 Wrocaw",20
59,Komisariat 60,"ul. Turkusowa 81
82-296 Sanok",22
60,Komisariat 61,"al. Andersa 02/74
95-497 Legionowo",27
61,Komisariat 62,"aleja Pisudskiego 136
72-449 Sieradz",18
62,Komisariat 63,"ulica Przemysowa 952
80-446 Pruszcz Gdanski",18
63,Komisariat 64,"ulica Poprzeczna 06/34
17-841 Olesnica",25
64,Komisariat 65,"ulica Skodowskiej-Curie 63/51
37-882 Tarnowskie Gory",25
65,Komisariat 66,"ulica Wiklinowa 75/03
69-375 Nowa Sol",14
66,Komisariat 67,"pl. Prosta 763
87-740 Sieradz",19
67,Komisariat 68,"ulica Wschodnia 04
44-254 Jaworzno",37
68,Komisariat 69,"ul. Pogodna 805
71-358 Kalisz",11
69,Komisariat 70,"plac Wspolna 53/89
53-871 Grudziadz",26
70,Komisariat 71,"ulica Jagiellonska 97
30-624 Bolesawiec",27
71,Komisariat 72,"pl. Grzybowa 10/32
93-615 Zgierz",17
72,Komisariat 73,"ulica Konstytucji 3 Maja 17
77-600 Swietochowice",24
73,Komisariat 74,"aleja Morelowa 42
88-911 Pabianice",22
74,Komisariat 75,"al. Poudniowa 984
95-373 Sandomierz",18
75,Komisariat 76,"pl. Drzymay 85
24-272 Starogard Gdanski",18
76,Komisariat 77,"ulica Jezynowa 230
11-913 Gdansk",23
77,Komisariat 78,"plac Strazacka 11/43
91-750 Bolesawiec",25
78,Komisariat 79,"ul. Jaboniowa 71/44
72-678 Sopot",19
79,Komisariat 80,"ul. Agrestowa 229
95-552 owicz",27
80,Komisariat 81,"aleja Zielona 92
03-565 Chorzow",13
81,Komisariat 82,"al. Zaciszna 821
66-041 Kodzko",20
82,Komisariat 83,"ul. Wiatraczna 182
07-633 Chrzanow",10
83,Komisariat 84,"aleja Glowna 470
62-774 Turek",25
84,Komisariat 85,"ul. Bydgoska 18
22-864 Katowice",19
85,Komisariat 86,"plac Maja 36
79-487 Sieradz",24
86,Komisariat 87,"al. Kopernika 21
52-794 Tychy",25
87,Komisariat 88,"pl. Krasickiego 302
58-831 Sochaczew",21
88,Komisariat 89,"aleja Rynek 619
04-965 Bedzin",18
89,Komisariat 90,"aleja Wczasowa 880
08-275 Turek",11
90,Komisariat 91,"aleja Nadbrzezna 88/18
89-589 Olsztyn",16
91,Komisariat 92,"ulica Stefana Batorego 40/89
13-448 Dzierzoniow",18
92,Komisariat 93,"aleja Cisowa 39
47-481 Zdunska Wola",14
93,Komisariat 94,"plac Jana Pawa II 44
71-288 Przemysl",22
94,Komisariat 95,"aleja Pisudskiego 50
47-517 Stargard Szczecinski",26
95,Komisariat 96,"pl. Strumykowa 59
22-811 Olsztyn",21
96,Komisariat 97,"plac Jesienna 54
87-557 Pruszcz Gdanski",15
97,Komisariat 98,"pl. Sowackiego 01
76-796 Swidnica",11
98,Komisariat 99,"ul. Wolnosci 56
71-124 Otwock",19
99,Komisariat 100,"aleja Bursztynowa 20
60-331 Wacz",20
100,Komisariat 101,"pl. Zwyciestwa 25/10
09-602 Opole",29
101,Komisariat 102,"ul. Jaworowa 622
07-205 Gizycko",23
102,Komisariat 103,"pl. Stroma 11
41-836 Warszawa",18
103,Komisariat 104,"ul. Hutnicza 059
72-711 Goleniow",17
104,Komisariat 105,"aleja Szmaragdowa 533
08-659 Swietochowice",14
105,Komisariat 106,"plac Zdrojowa 96/38
85-475 Swidnica",19
106,Komisariat 107,"pl. Poniatowskiego 04/67
04-380 Olsztyn",31
107,Komisariat 108,"aleja Ogrodowa 702
53-741 Chorzow",13
108,Komisariat 109,"ulica Nakowskiej 21/07
45-373 Tarnobrzeg",25
109,Komisariat 110,"al. Mazurska 686
82-457 Augustow",20
110,Komisariat 111,"ul. Wysoka 200
76-084 Zamosc",15
111,Komisariat 112,"al. Kosciuszki 180
20-954 Wacz",23
112,Komisariat 113,"pl. Morcinka 41
68-169 Chorzow",27
113,Komisariat 114,"plac Poniatowskiego 059
14-246 Brzeg",25
114,Komisariat 115,"al. Jasminowa 04/48
64-253 Ostroeka",9
115,Komisariat 116,"aleja Porzeczkowa 32/96
50-075 Starachowice",22
116,Komisariat 117,"ulica Orzechowa 77/90
44-833 Mysowice",16
117,Komisariat 118,"al. Czestochowska 725
97-337 Sroda Wielkopolska",22
118,Komisariat 119,"plac Sowianska 80
04-691 Leszno",15
119,Komisariat 120,"ulica Perowa 16/23
69-340 Gorzow Wielkopolski",13
120,Komisariat 121,"plac Debowa 67/47
40-719 Koo",17
121,Komisariat 122,"pl. Korczaka 389
97-165 Suwaki",19
122,Komisariat 123,"al. Zacisze 248
27-783 Zamosc",22
123,Komisariat 124,"ulica Konopnickiej 328
34-559 Zambrow",15
124,Komisariat 125,"ul. Poziomkowa 39
28-593 Jarocin",19
125,Komisariat 126,"ul. Boczna 941
98-897 Cieszyn",29
126,Komisariat 127,"ulica Mia 41/38
33-896 Reda",20
127,Komisariat 128,"ulica Sikorskiego 88/55
67-293 Zdunska Wola",27
128,Komisariat 129,"ul. Wesoa 17/48
61-970 Bydgoszcz",18
129,Komisariat 130,"aleja Mickiewicza 233
68-706 Biaogard",21
130,Komisariat 131,"pl. Radosna 66/41
91-798 Biaa Podlaska",18
131,Komisariat 132,"pl. Brzoskwiniowa 11/27
52-521 Mielec",17
132,Komisariat 133,"ul. Sciegiennego 94
87-927 Debica",23
133,Komisariat 134,"aleja Klasztorna 939
01-407 Szczecinek",24
134,Komisariat 135,"plac Prusa 40/28
32-846 Mikoow",19
135,Komisariat 136,"plac Glowna 71/33
73-392 Mikoow",21
136,Komisariat 137,"plac Zwirowa 357
74-949 Jaworzno",14
